,SchoolCode,DisciplineRate,DisciplineInt
367619,2616.0,<4%,2_to_4
368058,2679.0,<4%,2_to_4
368267,2900.0,3.50%,2_to_4
369106,2160.0,16.70%,above_10
369352,5259.0,,
369559,2560.0,8.90%,
369707,5297.0,,
370173,4118.0,<1%,below_2
370345,2676.0,<10%,
371004,5536.0,<10%,
371136,3362.0,2.20%,2_to_4
371532,1605.0,<10%,
371891,5208.0,<10%,
372112,1502.0,<7%,4_to_7
372228,3483.0,<1%,below_2
372989,5111.0,2.10%,2_to_4
373398,3415.0,6.80%,4_to_7
375136,5271.0,<8%,
375305,1689.0,<4%,2_to_4
375482,5149.0,5.20%,4_to_7
375653,2419.0,<2%,below_2
377214,1799.0,<10%,
377985,2799.0,<1%,below_2
378594,3467.0,<8%,
378700,4254.0,6.80%,4_to_7
379155,2386.0,<10%,
379330,3468.0,2.10%,2_to_4
379456,5460.0,<2%,below_2
380245,3141.0,3.70%,2_to_4
380596,3273.0,<4%,2_to_4
380989,5445.0,,
382508,3648.0,4.80%,4_to_7
382930,5958.0,<1%,below_2
383013,3799.0,,
383139,4246.0,,
383558,5197.0,<1%,below_2
383816,5302.0,<10%,
383923,3147.0,<1%,below_2
384046,3075.0,,
384364,2162.0,<10%,
385016,5461.0,<3%,2_to_4
385104,2550.0,<10%,
385281,2134.0,2.40%,2_to_4
385403,4105.0,<5%,4_to_7
385490,2702.0,7.50%,
386143,2234.0,<1%,below_2
386263,4038.0,,
386397,3195.0,1.40%,below_2
386521,3074.0,4.20%,4_to_7
386895,5540.0,,
387013,5506.0,<3%,2_to_4
388037,4287.0,<4%,2_to_4
388157,1613.0,2.10%,2_to_4
388827,3420.0,<10%,
389538,2859.0,<8%,
389666,4569.0,3.50%,2_to_4
389878,5338.0,<9%,
389934,5077.0,<10%,
390015,2532.0,9.20%,
391710,3289.0,<10%,
392606,2542.0,<10%,
393091,3246.0,4.10%,4_to_7
393340,2473.0,,
393947,5245.0,<10%,
394386,3597.0,<7%,4_to_7
394498,1829.0,<10%,
394590,3375.0,,
394811,2605.0,<10%,
395397,3396.0,<10%,
395454,4208.0,<1%,below_2
395573,1795.0,<7%,4_to_7
396031,3546.0,2.40%,2_to_4
397754,5263.0,,
397776,5153.0,<6%,4_to_7
397921,5355.0,2.30%,2_to_4
398009,5224.0,<10%,
398212,1627.0,<2%,below_2
398318,2633.0,3.50%,2_to_4
398872,1883.0,<2%,below_2
398946,2240.0,<3%,2_to_4
